player_name,Converted Name,WRank,hand
Ying Ying Duan,Duan Y.,103.0,RH
Heather Watson,Watson H.,81.0,RH
Dayana Yastremska,Yastremska D.,420.0,RH
Amina Anshba,Anshba A.,27.0,LH
Stefanie Voegele,Voegele S.,112.0,RH
Elina Svitolina,Svitolina E.,14.0,RH
Marcos Giron,Giron M.,79.0,RH
Rajeev Ram,Ram R.,137.0,RH
Tennys Sandgren,Sandgren T.,106.0,RH
Filip Peliwo,Peliwo F.,143.0,RH
Guilherme Clezar,Clezar G.,310.0,RH
Aleksandr Nedovyesov,Nedovyesov A.,47.0,RH
Teymuraz Gabashvili,Gabashvili T.,33.0,RH
Filippo Volandri,Volandri F.,143.0,RH
Alejandro Gonzalez,Gonzalez A.,163.0,RH
Caroline Garcia,Garcia C.,24.0,RH
Matthew Ebden,Ebden M.,564.0,RH
Tobias Kamke,Kamke T.,185.0,RH
Aljaz Bedene,Bedene A.,101.0,RH
Peter Gojowczyk,Gojowczyk P.,148.0,RH
Joao Souza,Souza J.,131.0,RH
Madison Keys,Keys M.,9.0,RH
Jose Rubin Statham,Statham J.,340.0,RH
Lukas Lacko,Lacko L.,121.0,RH
Michal Przysiezny,Przysiezny M.,40.0,RH
Jack Sock,Sock J.,23.0,RH
Yen Hsun Lu,Lu Y.,64.0,RH
Estrella Cabeza Candela,Candela E.,347.0,RH
Ricardas Berankis,Berankis R.,177.0,RH
Ana Konjuh,Konjuh A.,47.0,RH
Belinda Bencic,Bencic B.,128.0,RH
Alla Kudryavtseva,Kudryavtseva A.,47.0,RH
Carina Witthoeft,Witthoeft C.,89.0,RH
Anastasia Rodionova,Rodionova A.,669.0,RH
Benjamin Becker,Becker B.,166.0,RH
Katarzyna Piter,Piter K.,52.0,RH
Alison Riske Amritraj,Amritraj A.,27.0,RH
Damir Dzumhur,Dzumhur D.,86.0,RH
Jie Zheng,Zheng J.,44.0,RH
Casey Dellacqua,Dellacqua C.,208.0,LH
Zarina Diyas,Diyas Z.,130.0,RH
Takanyi Garanganga,Garanganga T.,33.0,RH
Tsung Hua Yang,Yang T.,63.0,RH
Hiroki Moriya,Moriya H.,,RH
Matt Reid,Reid M.,79.0,RH
Karin Knapp,Knapp K.,52.0,RH
Petra Cetkovska,Cetkovska P.,95.0,RH
Daniel Gimeno Traver,Traver D.,244.0,RH
Albert Montanes,Montanes A.,312.0,RH
Joao Sousa,Sousa J.,44.0,RH
Kurumi Nara,Nara K.,76.0,RH
Jiri Vesely,Vesely J.,55.0,LH
Lukasz Kubot,Kubot L.,64.0,RH
Pablo Carreno Busta,Busta P.,30.0,RH
Adrian Mannarino,Mannarino A.,65.0,LH
Thiemo De Bakker,Bakker T.,15.0,RH
Dusan Lajovic,Lajovic D.,94.0,RH
Kristyna Pliskova,Pliskova K.,6.0,LH
Mohamed Safwat,Safwat M.,282.0,RH
Eduardo Russi,Russi E.,14.0,RH
Vania King,King V.,77.0,RH
Paolo Lorenzi,Lorenzi P.,41.0,RH
Mauricio Echazu,Echazu M.,79.0,RH
Filip Krajinovic,Krajinovic F.,77.0,RH
Santiago Giraldo,Giraldo S.,97.0,RH
Maria Teresa Torro Flor,Flor M.,79.0,RH
Mathias Bourgue,Bourgue M.,79.0,RH
Gonzalo Lama,Lama G.,7.0,RH
Mate Delic,Delic M.,79.0,RH
Simone Bolelli,Bolelli S.,470.0,RH
Jan Lennard Struff,Struff J.,62.0,RH
Martin Klizan,Klizan M.,36.0,LH
Andrey Golubev,Golubev A.,27.0,RH
Paul Henri Mathieu,Mathieu P.,105.0,RH
Lara Arruabarrena,Arruabarrena L.,64.0,RH
Julian Reister,Reister J.,340.0,RH
Pere Riba,Riba P.,67.0,RH
Stephane Robert,Robert S.,81.0,RH
Shuai Zhang,Zhang S.,23.0,RH
Dustin Brown,Brown D.,72.0,RH
Dudi Sela,Sela D.,96.0,RH
Robby Ginepri,Ginepri R.,14.0,RH
Danka Kovinic,Kovinic D.,68.0,RH
Alize Lim,Lim A.,47.0,RH
Alisa Kleybanova,Kleybanova A.,47.0,RH
Kristina Mladenovic,Mladenovic K.,51.0,RH
Diego Schwartzman,Schwartzman D.,52.0,RH
Anna Karolina Schmiedlova,Schmiedlova A.,47.0,RH
Marina Erakovic,Erakovic M.,174.0,RH
Yoshihito Nishioka,Nishioka Y.,99.0,LH
Andrej Martin,Martin A.,149.0,RH
Ajla Tomljanovic,Tomljanovic A.,,RH
Taylor Townsend,Townsend T.,120.0,LH
Leonardo Mayer,Mayer L.,148.0,RH
Pauline Parmentier,Parmentier P.,67.0,RH
Steven Diez,Diez S.,2.0,RH
Renzo Olivo,Olivo R.,83.0,RH
Blaz Rola,Rola B.,20.0,LH
Donna Vekic,Vekic D.,99.0,RH
Marco Cecchinato,Cecchinato M.,105.0,RH
Facundo Bagnis,Bagnis F.,82.0,LH
Pierre Hugues Herbert,Herbert P.,96.0,RH
Steve Johnson,Johnson S.,33.0,RH
Miloslav Mecir Jr,Jr M.,79.0,RH
Coco Vandeweghe,Vandeweghe C.,38.0,RH
Samantha Murray,Murray S.,1.0,RH
Kenny De Schepper,Schepper K.,162.0,LH
Teliana Pereira,Pereira T.,826.0,RH
Lesia Tsurenko,Tsurenko L.,61.0,RH
Nikola Cacic,Cacic N.,142.0,RH
Maximo Gonzalez,Gonzalez M.,163.0,RH
Mikhail Kukushkin,Kukushkin M.,103.0,RH
Farrukh Dustov,Dustov F.,143.0,RH
Denis Kudla,Kudla D.,178.0,RH
John Patrick Smith,Smith J.,44.0,LH
Illya Marchenko,Marchenko I.,91.0,RH
Nicole Gibbs,Gibbs N.,92.0,RH
Alexandra Stevenson,Stevenson A.,271.0,RH
Elias Ymer,Ymer E.,202.0,RH
Alexander Zverev,Zverev A.,24.0,RH
Indy De Vroome,Vroome I.,92.0,RH
Samuel Groth,Groth S.,180.0,RH
Aleksandra Krunic,Krunic A.,132.0,RH
Pablo Cuevas,Cuevas P.,22.0,RH
Gilles Muller,Muller G.,34.0,LH
Blaz Kavcic,Kavcic B.,166.0,RH
David Goffin,Goffin D.,11.0,RH
Andreas Beck,Beck A.,67.0,LH
Shelby Rogers,Rogers S.,59.0,RH
Andreas Haider Maurer,Maurer A.,27.0,RH
Cristian Garin,Garin C.,19.0,RH
Anett Kontaveit,Kontaveit A.,125.0,RH
Jovana Jaksic,Jaksic J.,170.0,RH
Gabriela Dabrowski,Dabrowski G.,348.0,RH
Grace Min,Min G.,200.0,RH
Alexandra Panova,Panova A.,27.0,RH
Jana Cepelova,Cepelova J.,105.0,RH
Victor Estrella,Estrella V.,77.0,RH
Adam Pavlasek,Pavlasek A.,136.0,RH
Fangzhou Liu,Liu F.,143.0,RH
Francis Tiafoe,Tiafoe F.,108.0,RH
Michael Russell,Russell M.,79.0,RH
Frank Dancevic,Dancevic F.,422.0,RH
Timea Bacsinszky,Bacsinszky T.,15.0,RH
Catherine Cartan Bellis,Bellis C.,70.0,RH
John Millman,Millman J.,174.0,RH
Ze Zhang,Zhang Z.,495.0,RH
Vincent Millot,Millot V.,165.0,LH
Denys Molchanov,Molchanov D.,386.0,RH
Jelena Ostapenko,Ostapenko J.,44.0,RH
Matteo Viola,Viola M.,79.0,RH
Kimmer Coppejans,Coppejans K.,76.0,RH
Yafan Wang,Wang Y.,58.0,RH
Somdev Devvarman,Devvarman S.,23.0,RH
Alex Bolt,Bolt A.,189.0,LH
Dennis Novikov,Novikov D.,203.0,RH
Jared Donaldson,Donaldson J.,105.0,RH
Luca Vanni,Vanni L.,64.0,RH
Shilin Xu,Xu S.,2.0,RH
Tatsuma Ito,Ito T.,63.0,RH
Lin Zhu,Zhu L.,122.0,RH
Austin Krajicek,Krajicek A.,27.0,LH
Nikoloz Basilashvili,Basilashvili N.,87.0,RH
Anna Lena Friedsam,Friedsam A.,27.0,RH
Saisai Zheng,Zheng S.,84.0,RH
Irina Camelia Begu,Begu I.,29.0,RH
Denisa Allertova,Allertova D.,107.0,RH
Matthias Bachinger,Bachinger M.,40.0,RH
Katerina Siniakova,Siniakova K.,52.0,RH
Stefan Kozlov,Kozlov S.,150.0,RH
Irina Falconi,Falconi I.,104.0,RH
Madison Brengle,Brengle M.,72.0,RH
Norbert Gombos,Gombos N.,128.0,RH
Borna Coric,Coric B.,61.0,RH
Yuichi Sugita,Sugita Y.,91.0,RH
Go Soeda,Soeda G.,310.0,RH
Lucas Pouille,Pouille L.,15.0,RH
Radu Albot,Albot R.,92.0,RH
Tereza Smitkova,Smitkova T.,826.0,RH
Vitalia Diatchenko,Diatchenko V.,77.0,RH
Luksika Kumkhum,Kumkhum L.,155.0,RH
Marsel Ilhan,Ilhan M.,287.0,RH
Alex Kuznetsov,Kuznetsov A.,48.0,RH
Jason Kubler,Kubler J.,170.0,RH
Guido Pella,Pella G.,166.0,LH
Julia Glushko,Glushko J.,340.0,RH
Daria Saville,Saville D.,96.0,RH
Natalia Vikhlyantseva,Vikhlyantseva N.,129.0,RH
